Tahun,Item,Emisi (Gg CO2)
2000,Limbah Cair Industri,"23673,81"
2000,Limbah Cair Domestik,"19029,31"
2000,Pembakaran,"4312,42"
2000,Pengolahan Secara Biologis,"0,00"
2000,Limbah Padat,"32423,77"
2001,Limbah Cair Industri,"25593,99"
2001,Limbah Cair Domestik,"19307,84"
2001,Pembakaran,"4360,31"
2001,Pengolahan Secara Biologis,"0,00"
2001,Limbah Padat,"33368,86"
2002,Limbah Cair Industri,"27158,57"
2002,Limbah Cair Domestik,"19795,60"
2002,Pembakaran,"4408,88"
2002,Pengolahan Secara Biologis,"0,00"
2002,Limbah Padat,"34243,58"
2003,Limbah Cair Industri,"29372,13"
2003,Limbah Cair Domestik,"20118,86"
2003,Pembakaran,"4457,92"
2003,Pengolahan Secara Biologis,"0,00"
2003,Limbah Padat,"35065,00"
2004,Limbah Cair Industri,"29395,49"
2004,Limbah Cair Domestik,"20387,28"
2004,Pembakaran,"4507,51"
2004,Pengolahan Secara Biologis,"0,00"
2004,Limbah Padat,"35845,02"
2005,Limbah Cair Industri,"30388,95"
2005,Limbah Cair Domestik,"20708,00"
2005,Pembakaran,"4557,64"
2005,Pengolahan Secara Biologis,"0,00"
2005,Limbah Padat,"36593,57"
2006,Limbah Cair Industri,"35365,56"
2006,Limbah Cair Domestik,"20950,22"
2006,Pembakaran,"4607,77"
2006,Pengolahan Secara Biologis,"0,00"
2006,Limbah Padat,"37319,13"
2007,Limbah Cair Industri,"34025,10"
2007,Limbah Cair Domestik,"21410,60"
2007,Pembakaran,"4566,67"
2007,Pengolahan Secara Biologis,"0,00"
2007,Limbah Padat,"38028,30"
2008,Limbah Cair Industri,"33710,78"
2008,Limbah Cair Domestik,"21716,51"
2008,Pembakaran,"4729,30"
2008,Pengolahan Secara Biologis,"0,00"
2008,Limbah Padat,"38530,25"
2009,Limbah Cair Industri,"35919,47"
2009,Limbah Cair Domestik,"21911,60"
2009,Pembakaran,"4781,31"
2009,Pengolahan Secara Biologis,"0,00"
2009,Limbah Padat,"39331,91"
2010,Limbah Cair Industri,"41318,66"
2010,Limbah Cair Domestik,"22241,78"
2010,Pembakaran,"5219,92"
2010,Pengolahan Secara Biologis,"0,00"
2010,Limbah Padat,"40115,69"
2011,Limbah Cair Industri,"42545,68"
2011,Limbah Cair Domestik,"23022,68"
2011,Pembakaran,"5278,09"
2011,Pengolahan Secara Biologis,"0,02"
2011,Limbah Padat,"41623,76"
2012,Limbah Cair Industri,"44346,82"
2012,Limbah Cair Domestik,"23463,77"
2012,Pembakaran,"5336,78"
2012,Pengolahan Secara Biologis,"0,02"
2012,Limbah Padat,"43036,58"
2013,Limbah Cair Industri,"48589,59"
2013,Limbah Cair Domestik,"25379,98"
2013,Pembakaran,"5395,52"
2013,Pengolahan Secara Biologis,"0,02"
2013,Limbah Padat,"44476,59"
2014,Limbah Cair Industri,"50215,06"
2014,Limbah Cair Domestik,"26372,32"
2014,Pembakaran,"5454,65"
2014,Pengolahan Secara Biologis,"0,02"
2014,Limbah Padat,"45682,48"
2015,Limbah Cair Industri,"50872,42"
2015,Limbah Cair Domestik,"27245,70"
2015,Pembakaran,"5649,70"
2015,Pengolahan Secara Biologis,"0,02"
2015,Limbah Padat,"46714,22"
2016,Limbah Cair Industri,"53748,79"
2016,Limbah Cair Domestik,"27881,85"
2016,Pembakaran,"5719,88"
2016,Pengolahan Secara Biologis,"0,02"
2016,Limbah Padat,"48044,45"
2017,Limbah Cair Industri,"61354,12"
2017,Limbah Cair Domestik,"28706,86"
2017,Pembakaran,"5772,72"
2017,Pengolahan Secara Biologis,"0,01"
2017,Limbah Padat,"49270,52"
2018,Limbah Cair Industri,"68033,81"
2018,Limbah Cair Domestik,"29318,25"
2018,Pembakaran,"5835,43"
2018,Pengolahan Secara Biologis,"0,01"
2018,Limbah Padat,"50355,67"
2019,Limbah Cair Industri,"73419,74"
2019,Limbah Cair Domestik,"30104,12"
2019,Pembakaran,"5894,44"
2019,Pengolahan Secara Biologis,"0,08"
2019,Limbah Padat,"51186,74"
2020,Limbah Cair Industri,"76378,89"
2020,Limbah Cair Domestik,"30622,50"
2020,Pembakaran,"5953,60"
2020,Pengolahan Secara Biologis,"2,04"
2020,Limbah Padat,"51411,87"
2021,Limbah Cair Industri,"79410,81"
2021,Limbah Cair Domestik,"31430,80"
2021,Pembakaran,"6011,04"
2021,Pengolahan Secara Biologis,"1,33"
2021,Limbah Padat,"51781,28"
2022,Limbah Cair Industri,"85238,86"
2022,Limbah Cair Domestik,"31604,32"
2022,Pembakaran,"6064,61"
2022,Pengolahan Secara Biologis,"1,28"
2022,Limbah Padat,"52399,85"
