Tahun;Item;Emisi (Gg CO2)
2000;Limbah Cair Industri;23,673.81
2000;Limbah Cair Domestik;19,029.31
2000;Pembakaran;4,312.42
2000;Pengolahan Secara Biologis;0
2000;Limbah Padat;32,423.77
2001;Limbah Cair Industri;25,593.99
2001;Limbah Cair Domestik;19,307.84
2001;Pembakaran;4,360.31
2001;Pengolahan Secara Biologis;0
2001;Limbah Padat;33,368.86
2002;Limbah Cair Industri;27,158.57
2002;Limbah Cair Domestik;19,795.60
2002;Pembakaran;4,408.88
2002;Pengolahan Secara Biologis;0
2002;Limbah Padat;34,243.58
2003;Limbah Cair Industri;29,372.13
2003;Limbah Cair Domestik;20,118.86
2003;Pembakaran;4,457.92
2003;Pengolahan Secara Biologis;0
2003;Limbah Padat;35,065.00
2004;Limbah Cair Industri;29,395.49
2004;Limbah Cair Domestik;20,387.28
2004;Pembakaran;4,507.51
2004;Pengolahan Secara Biologis;0
2004;Limbah Padat;35,845.02
2005;Limbah Cair Industri;30,388.95
2005;Limbah Cair Domestik;20,708.00
2005;Pembakaran;4,557.64
2005;Pengolahan Secara Biologis;0
2005;Limbah Padat;36,593.57
2006;Limbah Cair Industri;35,365.56
2006;Limbah Cair Domestik;20,950.22
2006;Pembakaran;4,607.77
2006;Pengolahan Secara Biologis;0
2006;Limbah Padat;37,319.13
2007;Limbah Cair Industri;34,025.10
2007;Limbah Cair Domestik;21,410.60
2007;Pembakaran;4,566.67
2007;Pengolahan Secara Biologis;0
2007;Limbah Padat;38,028.30
2008;Limbah Cair Industri;33,710.78
2008;Limbah Cair Domestik;21,716.51
2008;Pembakaran;4,729.30
2008;Pengolahan Secara Biologis;0
2008;Limbah Padat;38,530.25
2009;Limbah Cair Industri;35,919.47
2009;Limbah Cair Domestik;21,911.60
2009;Pembakaran;4,781.31
2009;Pengolahan Secara Biologis;0
2009;Limbah Padat;39,331.91
2010;Limbah Cair Industri;41,318.66
2010;Limbah Cair Domestik;22,241.78
2010;Pembakaran;5,219.92
2010;Pengolahan Secara Biologis;0
2010;Limbah Padat;40,115.69
2011;Limbah Cair Industri;42,545.68
2011;Limbah Cair Domestik;23,022.68
2011;Pembakaran;5,278.09
2011;Pengolahan Secara Biologis;0.02
2011;Limbah Padat;41,623.76
2012;Limbah Cair Industri;44,346.82
2012;Limbah Cair Domestik;23,463.77
2012;Pembakaran;5,336.78
2012;Pengolahan Secara Biologis;0.02
2012;Limbah Padat;43,036.58
2013;Limbah Cair Industri;48,589.59
2013;Limbah Cair Domestik;25,379.98
2013;Pembakaran;5,395.52
2013;Pengolahan Secara Biologis;0.02
2013;Limbah Padat;44,476.59
2014;Limbah Cair Industri;50,215.06
2014;Limbah Cair Domestik;26,372.32
2014;Pembakaran;5,454.65
2014;Pengolahan Secara Biologis;0.02
2014;Limbah Padat;45,682.48
2015;Limbah Cair Industri;50,872.42
2015;Limbah Cair Domestik;27,245.70
2015;Pembakaran;5,649.70
2015;Pengolahan Secara Biologis;0.02
2015;Limbah Padat;46,714.22
2016;Limbah Cair Industri;53,748.79
2016;Limbah Cair Domestik;27,881.85
2016;Pembakaran;5,719.88
2016;Pengolahan Secara Biologis;0.02
2016;Limbah Padat;48,044.45
2017;Limbah Cair Industri;61,354.12
2017;Limbah Cair Domestik;28,706.86
2017;Pembakaran;5,772.72
2017;Pengolahan Secara Biologis;0.01
2017;Limbah Padat;49,270.52
2018;Limbah Cair Industri;68,033.81
2018;Limbah Cair Domestik;29,318.25
2018;Pembakaran;5,835.43
2018;Pengolahan Secara Biologis;0.01
2018;Limbah Padat;50,355.67
2019;Limbah Cair Industri;73,419.74
2019;Limbah Cair Domestik;30,104.12
2019;Pembakaran;5,894.44
2019;Pengolahan Secara Biologis;0.08
2019;Limbah Padat;51,186.74
2020;Limbah Cair Industri;76,378.89
2020;Limbah Cair Domestik;30,622.50
2020;Pembakaran;5,953.60
2020;Pengolahan Secara Biologis;2.04
2020;Limbah Padat;51,411.87
2021;Limbah Cair Industri;79,410.81
2021;Limbah Cair Domestik;31,430.80
2021;Pembakaran;6,011.04
2021;Pengolahan Secara Biologis;1.33
2021;Limbah Padat;51,781.28
2022;Limbah Cair Industri;85,238.86
2022;Limbah Cair Domestik;31,604.32
2022;Pembakaran;6,064.61
2022;Pengolahan Secara Biologis;1.28
2022;Limbah Padat;52,399.85
