Year;Country;Data Source;Sector;CH4;Units
2020;Indonesia;Climate Watch;Waste;135.46;MtCO2e
2019;Indonesia;Climate Watch;Waste;133.3;MtCO2e
2018;Indonesia;Climate Watch;Waste;131.14;MtCO2e
2017;Indonesia;Climate Watch;Waste;128.99;MtCO2e
2016;Indonesia;Climate Watch;Waste;126.83;MtCO2e
2015;Indonesia;Climate Watch;Waste;124.68;MtCO2e
2014;Indonesia;Climate Watch;Waste;122.2;MtCO2e
2013;Indonesia;Climate Watch;Waste;117.54;MtCO2e
2012;Indonesia;Climate Watch;Waste;112.88;MtCO2e
2011;Indonesia;Climate Watch;Waste;119.38;MtCO2e
2010;Indonesia;Climate Watch;Waste;125.87;MtCO2e
2009;Indonesia;Climate Watch;Waste;132.37;MtCO2e
2008;Indonesia;Climate Watch;Waste;138.86;MtCO2e
2007;Indonesia;Climate Watch;Waste;145.36;MtCO2e
2006;Indonesia;Climate Watch;Waste;151.86;MtCO2e
2005;Indonesia;Climate Watch;Waste;158.35;MtCO2e
2004;Indonesia;Climate Watch;Waste;164.85;MtCO2e
2003;Indonesia;Climate Watch;Waste;171.34;MtCO2e
2002;Indonesia;Climate Watch;Waste;177.84;MtCO2e
2001;Indonesia;Climate Watch;Waste;184.33;MtCO2e
2000;Indonesia;Climate Watch;Waste;190.83;MtCO2e
2020;Indonesia;Climate Watch;Energy;107.18;MtCO2e
2019;Indonesia;Climate Watch;Energy;115.21;MtCO2e
2018;Indonesia;Climate Watch;Energy;110.59;MtCO2e
2017;Indonesia;Climate Watch;Energy;105.63;MtCO2e
2016;Indonesia;Climate Watch;Energy;103.93;MtCO2e
2015;Indonesia;Climate Watch;Energy;102.67;MtCO2e
2014;Indonesia;Climate Watch;Energy;109.49;MtCO2e
2013;Indonesia;Climate Watch;Energy;111.38;MtCO2e
2012;Indonesia;Climate Watch;Energy;110.35;MtCO2e
2011;Indonesia;Climate Watch;Energy;108.48;MtCO2e
2010;Indonesia;Climate Watch;Energy;95.35;MtCO2e
2009;Indonesia;Climate Watch;Energy;88.6;MtCO2e
2008;Indonesia;Climate Watch;Energy;82.11;MtCO2e
2007;Indonesia;Climate Watch;Energy;81.43;MtCO2e
2006;Indonesia;Climate Watch;Energy;80.7;MtCO2e
2005;Indonesia;Climate Watch;Energy;71.93;MtCO2e
2004;Indonesia;Climate Watch;Energy;68.03;MtCO2e
2003;Indonesia;Climate Watch;Energy;65.94;MtCO2e
2002;Indonesia;Climate Watch;Energy;64.06;MtCO2e
2001;Indonesia;Climate Watch;Energy;62.99;MtCO2e
2000;Indonesia;Climate Watch;Energy;61.97;MtCO2e
2020;Indonesia;Climate Watch;LUCF;8.73;MtCO2e
2019;Indonesia;Climate Watch;LUCF;102.55;MtCO2e
2018;Indonesia;Climate Watch;LUCF;47.66;MtCO2e
2017;Indonesia;Climate Watch;LUCF;5.42;MtCO2e
2016;Indonesia;Climate Watch;LUCF;13.64;MtCO2e
2015;Indonesia;Climate Watch;LUCF;132.85;MtCO2e
2014;Indonesia;Climate Watch;LUCF;121.18;MtCO2e
2013;Indonesia;Climate Watch;LUCF;43.17;MtCO2e
2012;Indonesia;Climate Watch;LUCF;50.56;MtCO2e
2011;Indonesia;Climate Watch;LUCF;47.77;MtCO2e
2010;Indonesia;Climate Watch;LUCF;5.84;MtCO2e
2009;Indonesia;Climate Watch;LUCF;96.59;MtCO2e
2008;Indonesia;Climate Watch;LUCF;7.48;MtCO2e
2007;Indonesia;Climate Watch;LUCF;10.13;MtCO2e
2006;Indonesia;Climate Watch;LUCF;146.69;MtCO2e
2005;Indonesia;Climate Watch;LUCF;53.6;MtCO2e
2004;Indonesia;Climate Watch;LUCF;118.82;MtCO2e
2003;Indonesia;Climate Watch;LUCF;37.43;MtCO2e
2002;Indonesia;Climate Watch;LUCF;122.46;MtCO2e
2001;Indonesia;Climate Watch;LUCF;8.66;MtCO2e
2000;Indonesia;Climate Watch;LUCF;8.18;MtCO2e
2020;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2019;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2018;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2017;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2016;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2015;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2014;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2013;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2012;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2011;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2010;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2009;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2008;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2007;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2006;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2005;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2004;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2003;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2002;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2001;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
2000;Indonesia;Climate Watch;Industrial Process;2.61;MtCO2e
