Year,Country ,Data Source,Sector,Unit,CO2,CH4,N2O,All GHG
2020,Indonesia,Climate Watch,Energy,MtCO₂e,"536,02","107,18","6,85","650,05"
2019,Indonesia,Climate Watch,Energy,MtCO₂e,"575,13","115,21","7,01","697,34"
2018,Indonesia,Climate Watch,Energy,MtCO₂e,"537,18","110,59","6,69","654,45"
2017,Indonesia,Climate Watch,Energy,MtCO₂e,"486,43","105,63","6,08","598,14"
2016,Indonesia,Climate Watch,Energy,MtCO₂e,"455,27","103,93","6,05","565,25"
2015,Indonesia,Climate Watch,Energy,MtCO₂e,"464,49","102,67","5,84","573,01"
2014,Indonesia,Climate Watch,Energy,MtCO₂e,"459,11","109,49","6,2","574,8"
2013,Indonesia,Climate Watch,Energy,MtCO₂e,"423,62","111,38","6,02","541,02"
2012,Indonesia,Climate Watch,Energy,MtCO₂e,"458,5","110,35","6,13","574,98"
2011,Indonesia,Climate Watch,Energy,MtCO₂e,"454,7","108,48","5,94","569,12"
2010,Indonesia,Climate Watch,Energy,MtCO₂e,"396,08","95,35","5,5","496,93"
2009,Indonesia,Climate Watch,Energy,MtCO₂e,"371,64","88,6","5,27","465,51"
2008,Indonesia,Climate Watch,Energy,MtCO₂e,"355,6","82,11","5,22","442,93"
2007,Indonesia,Climate Watch,Energy,MtCO₂e,"360,39","81,43","5,19",447
2006,Indonesia,Climate Watch,Energy,MtCO₂e,"345,42","80,7",5,"431,12"
2005,Indonesia,Climate Watch,Energy,MtCO₂e,"323,62","71,93","4,94","400,49"
2004,Indonesia,Climate Watch,Energy,MtCO₂e,"322,19","68,03","4,9","395,11"
2003,Indonesia,Climate Watch,Energy,MtCO₂e,"316,07","65,94","4,85","386,85"
2002,Indonesia,Climate Watch,Energy,MtCO₂e,"287,49","64,06","4,69","356,25"
2001,Indonesia,Climate Watch,Energy,MtCO₂e,"283,6","62,99","4,65","351,23"
2000,Indonesia,Climate Watch,Energy,MtCO₂e,"264,19","61,97","4,54","330,7"
1999,Indonesia,Climate Watch,Energy,MtCO₂e,"265,4","63,14","3,93","332,47"
1998,Indonesia,Climate Watch,Energy,MtCO₂e,"249,63","61,19","3,83","314,64"
1997,Indonesia,Climate Watch,Energy,MtCO₂e,"245,15","61,43","3,79","310,36"
1996,Indonesia,Climate Watch,Energy,MtCO₂e,"222,45","59,61","3,58","285,63"
1995,Indonesia,Climate Watch,Energy,MtCO₂e,"210,37","57,19","3,45",271
1994,Indonesia,Climate Watch,Energy,MtCO₂e,"186,64","55,68","3,3","245,62"
1993,Indonesia,Climate Watch,Energy,MtCO₂e,"174,32","52,7","3,18","230,2"
1992,Indonesia,Climate Watch,Energy,MtCO₂e,"161,64","50,99","3,08","215,71"
1991,Indonesia,Climate Watch,Energy,MtCO₂e,"153,23","49,76","2,99","205,98"
1990,Indonesia,Climate Watch,Energy,MtCO₂e,"140,62","45,35","2,89","188,86"
2020,Indonesia,Climate Watch,LUCF,MtCO₂e,"490,53","8,73","0,08","499,34"
2019,Indonesia,Climate Watch,LUCF,MtCO₂e,"788,48","102,55","1,63","892,67"
2018,Indonesia,Climate Watch,LUCF,MtCO₂e,"612,94","47,66","0,31","660,91"
2017,Indonesia,Climate Watch,LUCF,MtCO₂e,"475,23","5,42","0,04","480,7"
2016,Indonesia,Climate Watch,LUCF,MtCO₂e,"500,4","13,64","0,18","514,22"
2015,Indonesia,Climate Watch,LUCF,MtCO₂e,"1012,16","132,85","2,41","1147,43"
2014,Indonesia,Climate Watch,LUCF,MtCO₂e,"977,39","121,18","1,43","1100,01"
2013,Indonesia,Climate Watch,LUCF,MtCO₂e,"724,95","43,17","0,3","768,42"
2012,Indonesia,Climate Watch,LUCF,MtCO₂e,"746,59","50,56","0,62","797,77"
2011,Indonesia,Climate Watch,LUCF,MtCO₂e,"735,44","47,77","0,4","783,61"
2010,Indonesia,Climate Watch,LUCF,MtCO₂e,"288,08","5,84","0,06","293,99"
2009,Indonesia,Climate Watch,LUCF,MtCO₂e,"574,44","96,59","1,33","672,37"
2008,Indonesia,Climate Watch,LUCF,MtCO₂e,"287,16","7,48","0,11","294,75"
2007,Indonesia,Climate Watch,LUCF,MtCO₂e,"292,29","10,13","0,19","302,61"
2006,Indonesia,Climate Watch,LUCF,MtCO₂e,"723,78","146,69","2,09","872,55"
2005,Indonesia,Climate Watch,LUCF,MtCO₂e,"421,83","53,6","0,55","475,99"
2004,Indonesia,Climate Watch,LUCF,MtCO₂e,"625,42","118,82","1,65","745,9"
2003,Indonesia,Climate Watch,LUCF,MtCO₂e,364,"37,43","0,36","401,79"
2002,Indonesia,Climate Watch,LUCF,MtCO₂e,"633,36","122,46","1,69","757,51"
2001,Indonesia,Climate Watch,LUCF,MtCO₂e,"267,65","8,66","0,09","276,4"
2000,Indonesia,Climate Watch,LUCF,MtCO₂e,"453,63","8,18","0,31","462,12"
1999,Indonesia,Climate Watch,LUCF,MtCO₂e,"508,76","27,04","1,03","536,83"
1998,Indonesia,Climate Watch,LUCF,MtCO₂e,"585,37","71,31","8,23","664,91"
1997,Indonesia,Climate Watch,LUCF,MtCO₂e,"1165,89","262,12","12,79","1440,8"
1996,Indonesia,Climate Watch,LUCF,MtCO₂e,"477,11","17,73","0,7","495,54"
1995,Indonesia,Climate Watch,LUCF,MtCO₂e,"611,99","60,43","1,49","673,91"
1994,Indonesia,Climate Watch,LUCF,MtCO₂e,"610,53","60,43","1,49","672,45"
1993,Indonesia,Climate Watch,LUCF,MtCO₂e,"610,55","60,43","1,49","672,47"
1992,Indonesia,Climate Watch,LUCF,MtCO₂e,"610,56","60,43","1,49","672,48"
1991,Indonesia,Climate Watch,LUCF,MtCO₂e,"610,56","60,43","1,49","672,48"
1990,Indonesia,Climate Watch,LUCF,MtCO₂e,"610,56","60,43","1,49","672,48"
2020,Indonesia,Climate Watch,Waste,MtCO₂e,0,"135,46","2,75","138,21"
2019,Indonesia,Climate Watch,Waste,MtCO₂e,0,"133,3","2,72","136,02"
2018,Indonesia,Climate Watch,Waste,MtCO₂e,0,"131,14","2,69","133,84"
2017,Indonesia,Climate Watch,Waste,MtCO₂e,0,"128,99","2,66","131,65"
2016,Indonesia,Climate Watch,Waste,MtCO₂e,0,"126,83","2,63","129,47"
2015,Indonesia,Climate Watch,Waste,MtCO₂e,0,"124,68","2,6","127,28"
2014,Indonesia,Climate Watch,Waste,MtCO₂e,0,"122,2","2,56","124,76"
2013,Indonesia,Climate Watch,Waste,MtCO₂e,0,"117,54","2,52","120,06"
2012,Indonesia,Climate Watch,Waste,MtCO₂e,0,"112,88","2,48","115,36"
2011,Indonesia,Climate Watch,Waste,MtCO₂e,0,"119,38","2,43","121,81"
2010,Indonesia,Climate Watch,Waste,MtCO₂e,0,"125,87","2,39","128,27"
2009,Indonesia,Climate Watch,Waste,MtCO₂e,0,"132,37","2,35","134,72"
2008,Indonesia,Climate Watch,Waste,MtCO₂e,0,"138,86","2,31","141,17"
2007,Indonesia,Climate Watch,Waste,MtCO₂e,0,"145,36","2,27","147,63"
2006,Indonesia,Climate Watch,Waste,MtCO₂e,0,"151,86","2,23","154,08"
2005,Indonesia,Climate Watch,Waste,MtCO₂e,0,"158,35","2,18","160,53"
2004,Indonesia,Climate Watch,Waste,MtCO₂e,0,"164,85","2,14","166,99"
2003,Indonesia,Climate Watch,Waste,MtCO₂e,0,"171,34","2,1","173,44"
2002,Indonesia,Climate Watch,Waste,MtCO₂e,0,"177,84","2,06","179,9"
2001,Indonesia,Climate Watch,Waste,MtCO₂e,0,"184,33","2,02","186,35"
2000,Indonesia,Climate Watch,Waste,MtCO₂e,0,"190,83","1,98","192,8"
1999,Indonesia,Climate Watch,Waste,MtCO₂e,0,"187,22","1,96","189,17"
1998,Indonesia,Climate Watch,Waste,MtCO₂e,0,"183,61","1,94","185,55"
1997,Indonesia,Climate Watch,Waste,MtCO₂e,0,180,"1,91","181,92"
1996,Indonesia,Climate Watch,Waste,MtCO₂e,0,"176,39","1,89","178,29"
1995,Indonesia,Climate Watch,Waste,MtCO₂e,0,"172,78","1,87","174,66"
1994,Indonesia,Climate Watch,Waste,MtCO₂e,0,"169,7","1,82","171,52"
1993,Indonesia,Climate Watch,Waste,MtCO₂e,0,"166,41","1,76","168,18"
1992,Indonesia,Climate Watch,Waste,MtCO₂e,0,"163,14","1,71","164,85"
1991,Indonesia,Climate Watch,Waste,MtCO₂e,0,"159,87","1,65","161,52"
1990,Indonesia,Climate Watch,Waste,MtCO₂e,0,"156,6","1,6","158,2"
2020,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"27,18","2,61","0,43","33,92"
2019,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"30,16","2,61","0,43","36,69"
2018,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"30,83","2,61","0,42","37,14"
2017,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"28,97","2,61","0,42","35,06"
2016,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"28,71","2,61","0,41","34,58"
2015,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"24,56","2,61","0,41","30,21"
2014,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"25,53","2,61","0,4","31,12"
2013,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"24,78","2,61","0,4","30,33"
2012,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"23,29","2,61","0,4","28,79"
2011,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"21,1","2,61","0,38","26,53"
2010,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"19,46","2,61","0,36","24,82"
2009,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"19,44","2,61","0,33","24,58"
2008,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"20,54","2,61","0,31","25,45"
2007,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"19,57","2,61","0,29","24,26"
2006,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"19,05","2,61","0,27","23,52"
2005,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"18,53","2,61","0,24","22,77"
2004,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"19,05","2,61","0,22","23,12"
2003,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"17,81","2,61","0,2","21,7"
2002,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"18,14","2,61","0,17","21,86"
2001,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"18,46","2,61","0,15",22
2000,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"16,45","2,61","0,13","19,82"
1999,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"14,08",0,"0,13","14,82"
1998,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"13,08",0,"0,13","13,81"
1997,Indonesia,Climate Watch,Industrial Process,MtCO₂e,"16,01",0,"0,13","16,73"
